=== fh1 xex post-import recon ===
program: default.bin
language: PowerPC:BE:32:default
base: 82000000

--- RTTI class names (.?AV...@@) ---
(0 RTTI names dumped)

--- defined strings in .rdata with code xrefs (top 600 by ref count) ---
  refs=2  va=8213b230  'ExhaustReflection'
  refs=2  va=8213b20c  'DSPScalar'
  refs=2  va=8213ad91  'A.fsb'
  refs=2  va=8213ad80  'EngineSettings'
  refs=2  va=8213ab68  'outerVolume'
  refs=2  va=8213ab5c  'outerAngle'
  refs=2  va=8213ab10  'CarWindVolume'
  refs=2  va=8213aabc  'TireVolume'
  refs=2  va=8213aaac  'OtherVolumes'
  refs=2  va=8213aa98  'SurroundPanExhaustR'
  refs=2  va=8213aa84  'SurroundPanExhaustL'
  refs=2  va=8213aa68  'SurroundPanEngineAmbient'
  refs=2  va=8213aa5c  'ExhaustR'
  refs=2  va=8213aa50  'ExhaustL'
  refs=2  va=8213aa40  'EngineAmbient'
  refs=2  va=8213aa28  'SurroundPanEngineIntake'
  refs=2  va=8213aa04  'AmbientVolume'
  refs=2  va=8213a9f4  'EngineIntake'
  refs=2  va=8213a9dc  'EmissionGroupVolumes'
  refs=2  va=82137b90  '/TrackAmbient/Track3D'
  refs=2  va=82137a3c  'soundbank'
  refs=2  va=821379f4  'rotateX'
  refs=2  va=8213799c  'SharedAudioDynamic'
  refs=2  va=82137980  'Game:\\Media\\Audio\\Tracks\\'
  refs=2  va=82137910  'Soundbank'
  refs=2  va=821351ac  'nemesis'
  refs=2  va=82132a40  'model'
  refs=2  va=820fd550  '%f,%d,%f,%f,%f,%d,%f,%f'
  refs=2  va=820ec19c  'Forza.WebServices.DLCMetadata, Forza.WebServices'
  refs=2  va=820e81fc  'ReportContent'
  refs=2  va=820de714  'OnComplete'
  refs=2  va=820da964  'Xls.WebServices.User, Xls.WebServices'
  refs=2  va=820d0818  'Call to NULL write function'
  refs=2  va=820a375c  'IDS_EventRestrictions'
  refs=2  va=820a354c  'IDS_Waiting_Title'
  refs=2  va=820a244c  'IDS_Overview_Title'
  refs=2  va=820a2438  'IDS_Overview_Desc'
  refs=2  va=820a01a4  'IDS_Balance'
  refs=2  va=820a0198  'IDS_Brake'
  refs=2  va=8209feb8  'IDS_FirstTimeMessage'
  refs=2  va=8209f598  'IDS_General'
  refs=2  va=8209f288  'IDS_Drift'
  refs=2  va=8209f18c  'IDS_Price'
  refs=2  va=8209e6c8  'IDS_Gear'
  refs=2  va=8209e5e8  'IDS_VisitStorefront'
  refs=2  va=8209e248  'IDS_Gamertag'
  refs=2  va=8209ad40  'IDS_Heat'
  refs=2  va=8209a284  'IDS_Telemetry'
  refs=2  va=82099d2c  'IDS_Damage'
  refs=2  va=82099c54  'IDS_ViewReplay'
  refs=2  va=820997b0  'IDS_Tuning'
  refs=2  va=820995b4  'IDS_Lap'
  refs=2  va=820995a8  'IDS_Race'
  refs=2  va=82099220  'IDS_Sell'
  refs=2  va=82098f14  'IDS_Statistics'
  refs=2  va=82097dfc  'IDS_Vote'
  refs=2  va=82097d18  'IDS_Buy'
  refs=2  va=82097a68  'IDS_Paste'
  refs=2  va=82097a5c  'IDS_Copy'
  refs=2  va=82097a38  'IDS_Upload'
  refs=2  va=82097a04  'IDS_Exit'
  refs=2  va=8209796c  'IDS_ClubInfo'
  refs=2  va=820978a0  'IDS_Remove'
  refs=2  va=82097864  'IDS_Install'
  refs=2  va=82097804  'IDS_Filter'
  refs=2  va=820977c0  'IDS_Search'
  refs=2  va=82097764  'IDS_Assists'
  refs=2  va=82097754  'IDS_Scoreboards'
  refs=2  va=8209546c  'IDS_AuctionHouse'
  refs=2  va=82094df8  'IDS_Laps_Infinite'
  refs=2  va=82094c04  'IDS_Load_Failed_Title'
  refs=2  va=820941f4  'IDS_Marketplace'
  refs=2  va=82094050  'IDS_QuickUpgrade'
  refs=2  va=82094034  'IDS_GoRace'
  refs=2  va=82093f0c  'IDS_Not_Optimized_Title'
  refs=2  va=82093c4c  'IDS_Available'
  refs=2  va=82092f14  'IDS_Get_In_Car'
  refs=2  va=82092d94  'IDS_BuyCarTokens_Item'
  refs=2  va=820928f4  'IDS_RewardTitle'
  refs=2  va=820928e0  'IDS_DetailsTitle'
  refs=2  va=820928bc  'IDS_ScreenTitle'
  refs=2  va=8209287c  'IDS_MyProfile'
  refs=2  va=82092870  'IDS_Video'
  refs=2  va=8209283c  'IDS_Options'
  refs=2  va=820927ac  'IDS_Photo'
  refs=2  va=82092518  'IDS_Quit'
  refs=2  va=820924d4  'IDS_HUD'
  refs=2  va=820924c8  'IDS_Audio'
  refs=2  va=820924b4  'IDS_HeadTracking'
  refs=2  va=820923ec  'IDS_Resume'
  refs=2  va=8209211c  'IDS_PhotoShootFail'
  refs=2  va=8209210c  'IDS_PRStuntFail'
  refs=2  va=82091fbc  'IDS_ShowLeaderboard'
  refs=2  va=82091f38  'IDS_Take_Photo'
  refs=2  va=82091e70  'IDS_Test_Drive'
  refs=2  va=82091e54  'IDS_Paint'
  refs=2  va=82091e2c  'IDS_Upgrade'
  refs=2  va=82091b0c  'IDS_ReverseGear'
  refs=2  va=82091af8  'IDS_Clutch_Engaged'
  refs=2  va=82091ae8  'IDS_Clutch_Open'
  refs=2  va=820919b8  'IDS_GhostsDashboardItemName'
  refs=2  va=8208eb10  'shortcut'
  refs=2  va=8208c5d4  'trigger'
  refs=2  va=8207aabc  'group'
  refs=2  va=82077978  'SELECT Id FROM Data_Car AS Garage WHERE '
  refs=2  va=82073524  'EventTicket'
  refs=2  va=8207351c  'HubName'
  refs=2  va=8207350c  'ColorEventId'
  refs=2  va=82073504  'Color1'
  refs=2  va=820734fc  'Color2'
  refs=2  va=820734f4  'Color3'
  refs=2  va=820734ec  'Color4'
  refs=2  va=820734e4  'Color5'
  refs=2  va=820734dc  'Color6'
  refs=2  va=820734d4  'Color7'
  refs=2  va=8206bd4c  'HIDE_WRISTBAND'
  refs=2  va=8206bc68  'DISABLE_STRIPE'
  refs=2  va=8206bc58  'ENABLE_STRIPE'
  refs=2  va=8206bc40  'DISABLE_SECONDARY_COLOR'
  refs=2  va=8206bc28  'ENABLE_SECONDARY_COLOR'
  refs=2  va=8206b78c  'HIDE_OFFER'
  refs=2  va=8206b600  'HIDE_TIME'
  refs=2  va=8206b5f4  'SHOW_TIME'
  refs=2  va=8206b4c4  'HIDE_TARGET'
  refs=2  va=8206b4b8  'SHOW_TARGET'
  refs=2  va=82069b38  'road_type'
  refs=2  va=82068e40  'ARROW_DESTINATION'
  refs=2  va=82068e2c  'ARROW_UTURN_LEFT'
  refs=2  va=82068e18  'ARROW_SHARP_LEFT'
  refs=2  va=82068e08  'ARROW_TURN_LEFT'
  refs=2  va=82068df8  'ARROW_BEAR_LEFT'
  refs=2  va=82068de4  'ARROW_UTURN_RIGHT'
  refs=2  va=82068dd0  'ARROW_SHARP_RIGHT'
  refs=2  va=82068dbc  'ARROW_TURN_RIGHT'
  refs=2  va=82068da8  'ARROW_BEAR_RIGHT'
  refs=2  va=82068d9c  'ARROW_AHEAD'
  refs=2  va=82066aac  'RESET'
  refs=2  va=82065bfc  'ANIMATE'
  refs=2  va=82065ab4  'NEGATIVE'
  refs=2  va=82065aa8  'POSITIVE'
  refs=2  va=820659f0  'HIDE_TUNE'
  refs=2  va=820659e4  'SHOW_TUNE'
  refs=2  va=820621f8  'BOOLEAN_MATCH_ASPECT_RATIO'
  refs=2  va=820621e0  'BOOLEAN_TRUNCATE_TEXT'
  refs=2  va=820621c4  'BOOLEAN_KEEP_INITIAL_TEXT'
  refs=2  va=82061cd8  'UNOWNED'
  refs=2  va=82061cc4  'OWNED'
  refs=2  va=82061adc  'IDS_Category_Time_Desc'
  refs=2  va=820610e8  'SELECT Level, IsStock, Price FROM '
  refs=2  va=820610a4  ' WHERE Id = '
  refs=2  va=82061064  'SELECT Price, PartManufacturerID FROM List_Wheels WHERE Id = '
  refs=2  va=82060e18  'LogoPath'
  refs=2  va=8205dbe4  'UpgradeCar'
  refs=2  va=8205c30c  'HIDE_KINECT_WAVE'
  refs=2  va=8205c2f8  'SHOW_KINECT_WAVE'
  refs=2  va=8205b024  'IDS_Storefront_Title'
  refs=2  va=8205b010  'IDS_General_Title'
  refs=2  va=8205a3d4  'wristbandSelect'
  refs=2  va=8205a3c4  'streetHubSelect'
  refs=2  va=8205a3b8  'eventSelect'
  refs=2  va=82058c30  'HIDE_INFO'
  refs=2  va=82058c20  'HIDE_CAR_CLASS'
  refs=2  va=82058c10  'SHOW_CAR_CLASS'
  refs=2  va=82057ff0  'HIDE_RESULT'
  refs=2  va=82057fe4  'SHOW_RESULT'
  refs=2  va=82057fb8  'IDS_Cancel'
  refs=2  va=82057c3c  'nextScreen'
  refs=2  va=82055a48  'IDS_UserActionsGamerCard'
  refs=2  va=820554f8  'SaveTable_MetaData'
  refs=2  va=820535e0  'SETUP_MODE'
  refs=2  va=82053558  'HIDETARGET'
  refs=2  va=820534b4  'HIDE_WARNING'
  refs=2  va=82052368  'doorposition'
  refs=2  va=82051a1c  'quit_to_new_party'
  refs=2  va=8204fde0  'SHOW_HEADER'
  refs=2  va=8204f298  'IDS_LobbyStartRace'
  refs=2  va=8204f07c  'SHOW_CONTENT'
  refs=2  va=8204865c  'FLASH'
  refs=2  va=820484d0  'SPLITSCREEN_PLAYER1'
  refs=2  va=82047ea4  'HIDE_HEADTRACKING'
  refs=2  va=82047e90  'SHOW_HEADTRACKING'
  refs=2  va=82047cc8  'TEXT_MANUFACTURER_NAME'
  refs=2  va=820453f4  'IDS_OptionHeadTracking'
  refs=2  va=8204537c  'SHOW_SAVING_SLIDE'
  refs=2  va=82045318  'SHOW_RESULTS'
  refs=2  va=820452b0  'IDS_Bounty_Bonus'
  refs=2  va=82045158  'IDS_FindClan'
  refs=2  va=82044c48  'BaseCarValue'
  refs=2  va=82042c28  'LIST_SPEED_UNIT'
  refs=2  va=82042c18  'LONG_MAX_TACH'
  refs=2  va=820422d0  'TEXT_MULTIPLAYER_TIMER'
  refs=2  va=820422c4  'TEXT_RANK'
  refs=2  va=82040ad4  'HIDE_CLASS_BADGE'
  refs=2  va=82040ac0  'SHOW_CLASS_BADGE'
  refs=2  va=82040880  'HIDE_HOME_BUTTON'
  refs=2  va=8204086c  'SHOW_HOME_BUTTON'
  refs=2  va=820407bc  'FADE_IN'
  refs=2  va=82040724  'HIDE_TABS'
  refs=2  va=820406fc  'BUYOUT_GREEN'
  refs=2  va=820406f0  'BUYOUT_RED'
  refs=2  va=820406e4  'BID_GREEN'
  refs=2  va=820406d0  'FADE_OUT'
  refs=2  va=82040694  'TEXT_DESCRIPTION_TITLE'
  refs=2  va=82040438  'IDS_Shifting'
  refs=2  va=820403fc  'IDS_Steering'
  refs=2  va=820403f0  'IDS_Braking'
  refs=2  va=82040334  '838_I_PRO_OPTIONS_SET_DIFFICULTY'
  refs=2  va=8204021c  '104_C_CAR_DETAILS'
  refs=2  va=820401b4  '430_COMMUNITY_FIND_FRIENDS'
  refs=2  va=820400dc  '2_C_INI_LOADING'
  refs=2  va=820400a8  'E3_LOADING_CONTROLLER'
  refs=2  va=82040094  'E3_LOADING_WHEEL'
  refs=2  va=82040078  'H_SPONSOR_CHALLENGE_STATUS'
  refs=2  va=82040058  'H_GENERIC_TITLE'
  refs=2  va=8203fef4  '506_C_LIV_LAYER_SELECT'
  refs=2  va=8203fe8c  '16_DYNAMIC_LOADING_CONTROLLER'
  refs=2  va=8203fe54  '18_DYNAMIC_LOADING_KINECT'
  refs=2  va=8203fe1c  '318_USER_CREATED_HOPPER'
  refs=2  va=8203fdd4  '308_C_OPT_RESTRICTIONS'
  refs=2  va=8203fcd4  '705_MESSAGE_BOX'
  refs=2  va=8203fc1c  '925_PAUSE_MENU'
  refs=2  va=8203fbc8  '510_C_LIV_ADVANCED_COLOR'
  refs=2  va=8203fba0  '606_D_POP_FILTER'
  refs=2  va=8203fb5c  'H_POPUP_MENU'
  refs=2  va=8203fb38  '839_D_PLAYERCARD'
  refs=2  va=8203fb24  '042_D_POP_RATE_ITEM'
  refs=2  va=8203faac  'H_FIXED_SETTING_LIST'
  refs=2  va=8203fa98  '830_GAMMA_ADJUST'
  refs=2  va=8203f99c  '926_REPLAY_HUD'
  refs=2  va=8203f95c  'H_RIVAL_OFFER_CAREER_EVENT'
  refs=2  va=8203f8f0  '554_I_INSTALL_UPGRADES'
  refs=2  va=8203f8d8  '569_I_UPG_WIZ_RECOMMEND'
  refs=2  va=8203d020  'COMPONENT_SCROLLING_LIST'
  refs=2  va=8203ca04  'MakeName'
  refs=2  va=8203c948  'COMPONENT_HELP_BUTTON_BAR'
  refs=2  va=8203c934  'TEXT_SCREEN_NAME'
  refs=2  va=8203bd48  'selectCar'
  refs=2  va=820365ec  'TEXT_DESCRIPTION'
  refs=2  va=82031d54  'Preset'
  refs=2  va=820312d8  'CAR_PRES_GAUGE_ANIM'
  refs=2  va=82030470  'Y0Axis_Max'
  refs=2  va=82030464  'Y1Axis_Max'
  refs=2  va=82030458  'XAxis_Min'
  refs=2  va=8203044c  'XAxis_Max'
  refs=2  va=8202c3b4  'SurfaceType'
  refs=2  va=8202c2cc  'CarRestrictions'
  refs=2  va=82029d44  'RollOffDelay'
  refs=2  va=82028d7c  'CarCount'
  refs=2  va=8202871c  'COMPONENT_POPULARITY_BAR'
  refs=2  va=820286b0  'COMPONENT_INSTRUCTION'
  refs=2  va=820286a0  'COMPONENT_RADIO'
  refs=2  va=82028684  'HIDE_POSITION_TAPE_COMPLETE'
  refs=2  va=82028668  'SHOW_POSITION_TAPE_COMPLETE'
  refs=2  va=8202864c  'HIDE_POSITION_TAPE_FIRST'
  refs=2  va=82028630  'SHOW_POSITION_TAPE_FIRST'
  refs=2  va=82028614  'COMPONENT_LIST_SPONSOR_BARS'
  refs=2  va=82028608  'TEXT_REWARD'
  refs=2  va=820285f4  'TEXT_REWARD_TITLE'
  refs=2  va=820285e4  'TEXT_DETAILS'
  refs=2  va=820285d0  'TEXT_DETAILS_TITLE'
  refs=2  va=820285b4  'TEXT_POPULARITY_RANK_SUFFIX'
  refs=2  va=8202859c  'TEXT_POPULARITY_RANK'
  refs=2  va=82028584  'TEXT_POPULARITY_TITLE'
  refs=2  va=82028530  'COMPONENT_COMBINED_NOTIFICATION'
  refs=2  va=820284e4  'SHOW_STATS'
  refs=2  va=8202844c  'HIDE_INSTANT'
  refs=2  va=82028428  'TEXT_MESSAGE'
  refs=2  va=82027adc  'NumberAchieved'
  refs=2  va=82027ad4  'HideBar'
  refs=2  va=82027ac8  'ShowInfo'
  refs=2  va=820277ec  'cutscene_marker'
  refs=2  va=82026810  'TEXT_SCREEN_TITLE'
  refs=2  va=82026424  'game:\\media\\Tracks\\%s\\Ribbon_%02d\\TrackRoute%03d.xml'
